stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,level,correctAns,stair.response,key_resp.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
0,2,10,0.0251329,,0.0079069,0.0251329,0.5100902,0.5100902,0.525227,0.8098764,1.2307826,10,right,1,0.6278063,1,1,2025-09-04_13h35.40.795,adaptive staircase exp,,2025.1.1,60.71420548,2025-09-04 13h35.50.266642 +0530
1,2,8,1.2402561,,1.2309465,1.2402561,1.7431607,1.7431607,1.7431607,2.0578443,2.325232,8,right,1,0.5733508,1,1,2025-09-04_13h35.40.795,adaptive staircase exp,,2025.1.1,60.71420548,2025-09-04 13h35.50.266642 +0530
2,2,6,2.3417234,,2.3254585,2.3417234,2.8250317,2.8250317,2.8416146,3.1249264,3.4089425,-6,left,1,0.572484,1,1,2025-09-04_13h35.40.795,adaptive staircase exp,,2025.1.1,60.71420548,2025-09-04 13h35.50.266642 +0530
3,2,4,3.4250168,,3.4091672,3.4250168,3.908198,3.908198,3.9248526,4.2078724,4.3419539,-4,left,1,0.4242945,1,1,2025-09-04_13h35.40.795,adaptive staircase exp,,2025.1.1,60.71420548,2025-09-04 13h35.50.266642 +0530
4,1,2,4.3582032,,4.342139,4.3582032,4.8432727,4.8432727,4.8598807,5.1433165,5.5935019,-2,left,0,0.7409731,1,1,2025-09-04_13h35.40.795,adaptive staircase exp,,2025.1.1,60.71420548,2025-09-04 13h35.50.266642 +0530
5,1,3,5.6095974,,5.5937896,5.6095974,6.0934496,6.0934496,6.1096828,6.3938818,6.7634623,3,right,1,0.6650139,1,1,2025-09-04_13h35.40.795,adaptive staircase exp,,2025.1.1,60.71420548,2025-09-04 13h35.50.266642 +0530
6,1,3,6.7763558,,6.7637066,6.7763558,7.2772179,7.2772179,7.2772179,7.5760052,7.9440515,3,right,1,0.6548898,1,1,2025-09-04_13h35.40.795,adaptive staircase exp,,2025.1.1,60.71420548,2025-09-04 13h35.50.266642 +0530
7,1,3,7.9596437,,7.944342,7.9596437,8.4433972,8.4433972,8.4605495,8.7433079,8.9444362,3,right,1,0.4966248,1,1,2025-09-04_13h35.40.795,adaptive staircase exp,,2025.1.1,60.71420548,2025-09-04 13h35.50.266642 +0530
8,1,2,8.9602291,,8.9447065,8.9602291,9.4605898,9.4605898,9.4766642,9.7602734,10.3604388,2,right,1,0.8916077,1,1,2025-09-04_13h35.40.795,adaptive staircase exp,,2025.1.1,60.71420548,2025-09-04 13h35.50.266642 +0530
9,1,2,10.3761217,,10.3606979,10.3761217,10.8599073,10.8599073,10.877377,11.1603965,11.4775699,-2,left,1,0.6054372,1,1,2025-09-04_13h35.40.795,adaptive staircase exp,,2025.1.1,60.71420548,2025-09-04 13h35.50.266642 +0530
10,1,2,11.4919487,,11.4778669,11.4919487,11.9770456,11.9770456,11.9930521,12.2776156,12.594316,-2,left,1,0.6132903,1,1,2025-09-04_13h35.40.795,adaptive staircase exp,,2025.1.1,60.71420548,2025-09-04 13h35.50.266642 +0530
11,1,1,12.6104177,,12.5945796,12.6104177,13.0926952,13.0926952,13.1276305,13.3944607,13.7448609,-1,left,1,0.6400149,1,1,2025-09-04_13h35.40.795,adaptive staircase exp,,2025.1.1,60.71420548,2025-09-04 13h35.50.266642 +0530
12,1,1,13.7611378,,13.7451819,13.7611378,14.2430342,14.2430342,14.2764527,14.5429775,15.0274584,-1,left,1,0.7737834,1,1,2025-09-04_13h35.40.795,adaptive staircase exp,,2025.1.1,60.71420548,2025-09-04 13h35.50.266642 +0530
13,1,1,15.0435414,,15.0277558,15.0435414,15.5265469,15.5265469,15.5435893,15.8269506,16.3613264,-1,left,1,0.8254667,1,1,2025-09-04_13h35.40.795,adaptive staircase exp,,2025.1.1,60.71420548,2025-09-04 13h35.50.266642 +0530
14,0.5,1,16.3771696,,16.3616032,16.3771696,16.8607171,16.8607171,16.8772838,17.1594488,17.4109404,1,right,0,0.5460721,1,1,2025-09-04_13h35.40.795,adaptive staircase exp,,2025.1.1,60.71420548,2025-09-04 13h35.50.266642 +0530
15,0.5,1.5,17.4267201,,17.4112212,17.4267201,17.9266274,17.9266274,17.9266274,18.2266948,18.644666,-1.5,left,1,0.7043592,1,1,2025-09-04_13h35.40.795,adaptive staircase exp,,2025.1.1,60.71420548,2025-09-04 13h35.50.266642 +0530
16,0.5,1.5,18.6605054,,18.6449276,18.6605054,19.1430526,19.1430526,19.1602404,19.4443372,19.6614147,1.5,right,1,0.5095426,1,1,2025-09-04_13h35.40.795,adaptive staircase exp,,2025.1.1,60.71420548,2025-09-04 13h35.50.266642 +0530
17,0.5,1.5,19.6779424,,19.6617564,19.6779424,20.177909,20.177909,20.177909,20.4776821,20.7105487,1.5,right,1,0.5297929,1,1,2025-09-04_13h35.40.795,adaptive staircase exp,,2025.1.1,60.71420548,2025-09-04 13h35.50.266642 +0530
18,0.5,1,20.7265054,,20.7107833,20.7265054,21.2104216,21.2104216,21.2266703,21.5095514,21.8262174,-1,left,1,0.6030987,1,1,2025-09-04_13h35.40.795,adaptive staircase exp,,2025.1.1,60.71420548,2025-09-04 13h35.50.266642 +0530
19,0.5,1,21.8426822,,21.8264205,21.8426822,22.3273371,22.3273371,22.3437905,22.6272566,22.7946954,1,right,1,0.4576741,1,1,2025-09-04_13h35.40.795,adaptive staircase exp,,2025.1.1,60.71420548,2025-09-04 13h35.50.266642 +0530
20,0.5,1,22.8108206,,22.7949848,22.8108206,23.2936866,23.2936866,23.3113053,23.5931456,23.8104088,-1,left,0,0.5059678,1,1,2025-09-04_13h35.40.795,adaptive staircase exp,,2025.1.1,60.71420548,2025-09-04 13h35.50.266642 +0530
