thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,Fixation.started,Target.started,mouse.started,Fixation.stopped,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
0,0,0,[0.3138888888888889],[-0.1125],[1],[0],[0],[1.6360458000563085],['Target'],0,0,0,0,0.0621837,,10,0.0454143,0.0621837,0.0621837,0.0454395,1.0634894,1.6815453,[0.3138888888888889],[-0.1125],[1],[0],[0],[1.6360458000563085],['Target'],1,1,2025-09-29_16h19.23.218,visual search,,2025.1.1,60.19733893,2025-09-29 16h19.29.878738 +0530
1,0,1,[-0.2763888888888889],[0.19166666666666668],[1],[0],[0],[1.3812814999837428],['Target'],1,0,1,0,1.7469373,,10,1.7173768,1.7469373,1.7469373,0.0356978,2.7468154,3.0987399,[-0.2763888888888889],[0.19166666666666668],[1],[0],[0],[1.3812814999837428],['Target'],1,1,2025-09-29_16h19.23.218,visual search,,2025.1.1,60.19733893,2025-09-29 16h19.29.878738 +0530
2,0,2,[0.41388888888888886],[0.13333333333333333],[1],[0],[0],[1.2824711999855936],['Target'],2,0,2,0,3.1285695,,5,3.1152263,3.1285695,3.1285695,0.0161374,4.1302551,4.3977648,[0.41388888888888886],[0.13333333333333333],[1],[0],[0],[1.2824711999855936],['Target'],1,1,2025-09-29_16h19.23.218,visual search,,2025.1.1,60.19733893,2025-09-29 16h19.29.878738 +0530
3,0,3,[-0.09722222222222222],[0.3333333333333333],[1],[0],[0],[1.4058180999709293],['Target'],3,0,3,0,4.4285619,,5,4.4114062,4.4285619,4.4285619,0.0135438,5.4302315,5.8172261,[-0.09722222222222222],[0.3333333333333333],[1],[0],[0],[1.4058180999709293],['Target'],1,1,2025-09-29_16h19.23.218,visual search,,2025.1.1,60.19733893,2025-09-29 16h19.29.878738 +0530
4,0,4,[0.2361111111111111],[0.39166666666666666],[1],[0],[0],[1.1526332000503317],['Target'],4,0,4,0,5.8622965,,10,5.8468759,5.8622965,5.8622965,0.0294588,6.8635007,6.9995988,[0.2361111111111111],[0.39166666666666666],[1],[0],[0],[1.1526332000503317],['Target'],1,1,2025-09-29_16h19.23.218,visual search,,2025.1.1,60.19733893,2025-09-29 16h19.29.878738 +0530
5,0,5,[0.3541666666666667],[-0.19722222222222222],[1],[0],[0],[1.2165766999823973],['Target'],5,0,5,0,7.0287274,,5,7.0158783,7.0287274,7.0287274,0.016049,8.0303731,8.2325647,[0.3541666666666667],[-0.19722222222222222],[1],[0],[0],[1.2165766999823973],['Target'],1,1,2025-09-29_16h19.23.218,visual search,,2025.1.1,60.19733893,2025-09-29 16h19.29.878738 +0530
6,0,6,[-0.043055555555555555],[-0.3597222222222222],[1],[0],[0],[1.4324399000033736],['Target'],6,0,6,0,8.2621208,,5,8.2492033,8.2621208,8.2621208,0.0164038,9.26448,9.6817131,[-0.043055555555555555],[-0.3597222222222222],[1],[0],[0],[1.4324399000033736],['Target'],1,1,2025-09-29_16h19.23.218,visual search,,2025.1.1,60.19733893,2025-09-29 16h19.29.878738 +0530
7,0,7,[-0.004166666666666667],[-0.07222222222222222],[1],[0],[0],[1.3235194999724627],['Target'],7,0,7,0,9.7291256,,10,9.707987,9.7291256,9.7291256,0.026162,10.7302778,11.0316196,[-0.004166666666666667],[-0.07222222222222222],[1],[0],[0],[1.3235194999724627],['Target'],1,1,2025-09-29_16h19.23.218,visual search,,2025.1.1,60.19733893,2025-09-29 16h19.29.878738 +0530
8,0,8,[-0.3486111111111111],[-0.10972222222222222],[1],[0],[0],[1.3995187999680638],['Target'],8,0,8,0,11.0958039,,10,11.0661584,11.0958039,11.0958039,0.0343264,12.096881,12.4657755,[-0.3486111111111111],[-0.10972222222222222],[1],[0],[0],[1.3995187999680638],['Target'],1,1,2025-09-29_16h19.23.218,visual search,,2025.1.1,60.19733893,2025-09-29 16h19.29.878738 +0530
9,0,9,[0.2777777777777778],[0.04583333333333333],[1],[0],[0],[1.499701299937442],['Target'],9,0,9,0,12.5294606,,10,12.4995809,12.5294606,12.5294606,0.0335468,13.5304607,13.9993844,[0.2777777777777778],[0.04583333333333333],[1],[0],[0],[1.499701299937442],['Target'],1,1,2025-09-29_16h19.23.218,visual search,,2025.1.1,60.19733893,2025-09-29 16h19.29.878738 +0530
