study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test_word,Reference,trials_2.textbox.text,old_new,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,studytext.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test.started,testText.started,textbox.started,text_3.started,mouse.started,test.stopped,trials_2.textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
,0,0,0,,,C_r,Car,"Car
",new,"Car
","[-0.2569444444444444, 0.03611111111111111]","[-0.29305555555555557, -0.30833333333333335]","[1, 1]","[0, 0]","[0, 0]","[0.22103150002658367, 4.60408870014362]","[None, 'text_3']",,,,,0,0,0,23,14.5606811,,,,,,,,14.5433627,14.5606811,14.5606811,14.5606811,0.0137704,19.1478054,"Car
","[-0.2569444444444444, 0.03611111111111111]","[-0.29305555555555557, -0.30833333333333335]","[1, 1]","[0, 0]","[0, 0]","[0.22103150002658367, 4.60408870014362]","[None, 'text_3']",1,1,2025-10-13_13h39.08.312,word priming,,2025.1.1,59.68827198,2025-10-13 13h39.20.952747 +0530
,1,1,0,,,R_ng,Ring,Ring,new,Ring,[0.06666666666666667],[-0.3125],[1],[0],[0],[3.2608254000078887],['text_3'],,,,,0,1,1,22,19.1775045,,,,,,,,19.1534429,19.1775045,19.1775045,19.1775045,0.0054907,22.4146497,Ring,[0.06666666666666667],[-0.3125],[1],[0],[0],[3.2608254000078887],['text_3'],1,1,2025-10-13_13h39.08.312,word priming,,2025.1.1,59.68827198,2025-10-13 13h39.20.952747 +0530
,2,2,0,,,_ha_t,chart,Chart,old,Chart,[0.07777777777777778],[-0.30416666666666664],[1],[0],[0],[5.596294200047851],['text_3'],,,,,0,2,2,1,22.4444908,,,,,,,,22.4181139,22.4444908,22.4444908,22.4444908,0.0033398,28.0147595,Chart,[0.07777777777777778],[-0.30416666666666664],[1],[0],[0],[5.596294200047851],['text_3'],1,1,2025-10-13_13h39.08.312,word priming,,2025.1.1,59.68827198,2025-10-13 13h39.20.952747 +0530
,3,3,0,,,_o_se,Mouse,Mouse,old,Mouse,[0.07777777777777778],[-0.30416666666666664],[1],[0],[0],[3.9804489000234753],['text_3'],,,,,0,3,3,3,28.0299038,,,,,,,,28.0180238,28.0299038,28.0299038,28.0299038,0.0031219,31.9988614,Mouse,[0.07777777777777778],[-0.30416666666666664],[1],[0],[0],[3.9804489000234753],['text_3'],1,1,2025-10-13_13h39.08.312,word priming,,2025.1.1,59.68827198,2025-10-13 13h39.20.952747 +0530
,4,4,0,,,M_us_,Mouse,Mouse,new,Mouse,[0.06388888888888888],[-0.29583333333333334],[1],[0],[0],[7.358563699992374],['text_3'],,,,,0,4,4,11,32.0288942,,,,,,,,32.0069845,32.0288942,32.0288942,32.0288942,0.007985,39.3659177,Mouse,[0.06388888888888888],[-0.29583333333333334],[1],[0],[0],[7.358563699992374],['text_3'],1,1,2025-10-13_13h39.08.312,word priming,,2025.1.1,59.68827198,2025-10-13 13h39.20.952747 +0530
,5,5,0,,,P_st_r,poster,Poster,old,Poster,[0.020833333333333332],[-0.3111111111111111],[1],[0],[0],[5.792278500040993],['text_3'],,,,,0,5,5,9,39.3954644,,,,,,,,39.3728723,39.3954644,39.3954644,39.3954644,0.0068442,45.1655411,Poster,[0.020833333333333332],[-0.3111111111111111],[1],[0],[0],[5.792278500040993],['text_3'],1,1,2025-10-13_13h39.08.312,word priming,,2025.1.1,59.68827198,2025-10-13 13h39.20.952747 +0530
,6,6,0,,,P_st_y,Pastry,Pastry,old,Pastry,[0.020833333333333332],[-0.3111111111111111],[1],[0],[0],[4.666058900067583],['text_3'],,,,,0,6,6,4,45.1804789,,,,,,,,45.1687585,45.1804789,45.1804789,45.1804789,0.0030553,49.8352359,Pastry,[0.020833333333333332],[-0.3111111111111111],[1],[0],[0],[4.666058900067583],['text_3'],1,1,2025-10-13_13h39.08.312,word priming,,2025.1.1,59.68827198,2025-10-13 13h39.20.952747 +0530
,7,7,0,,,_us_io_,Cushion,Cushion,old,Cushion,[0.020833333333333332],[-0.3111111111111111],[1],[0],[0],[5.426701500080526],['text_3'],,,,,0,7,7,15,49.8627173,,,,,,,,49.8387476,49.8627173,49.8627173,49.8627173,0.0033823,55.2659413,Cushion,[0.020833333333333332],[-0.3111111111111111],[1],[0],[0],[5.426701500080526],['text_3'],1,1,2025-10-13_13h39.08.312,word priming,,2025.1.1,59.68827198,2025-10-13 13h39.20.952747 +0530
,8,8,0,,,P_li_e,police,Police,old,Police,[0.020833333333333332],[-0.3111111111111111],[1],[0],[0],[3.8800374001730233],['text_3'],,,,,0,8,8,7,55.28153,,,,,,,,55.2685902,55.28153,55.28153,55.28153,0.0025486,59.148941,Police,[0.020833333333333332],[-0.3111111111111111],[1],[0],[0],[3.8800374001730233],['text_3'],1,1,2025-10-13_13h39.08.312,word priming,,2025.1.1,59.68827198,2025-10-13 13h39.20.952747 +0530
,9,9,0,,,Ma_b_e,Marble,Marble,old,Marble,[0.020833333333333332],[-0.3111111111111111],[1],[0],[0],[4.216041299980134],['text_3'],,,,,0,9,9,12,59.1650046,,,,,,,,59.151745,59.1650046,59.1650046,59.1650046,0.002702,63.3681789,Marble,[0.020833333333333332],[-0.3111111111111111],[1],[0],[0],[4.216041299980134],['text_3'],1,1,2025-10-13_13h39.08.312,word priming,,2025.1.1,59.68827198,2025-10-13 13h39.20.952747 +0530
