delay,freq,condition,key_resp.rt,textbox.text,,,,,,,,
0.4,1000,exp,0.6119809,20,,,,,,,,
0.7,1000,exp,1.3551131,40,,,,,,,Mean Interval Estimate,
0.1,1000,exp,2.4842237,70,,,,Expected Condition,,,259.969697,
0.7,1000,exp,0.1508127,50,,,,Unexpected condition,,,789.7979798,
0.1,400,unexp,1.2247247,100,,,,,,,,
0.7,1000,exp,0.7555953,200,,,,,,,,
0.1,1000,exp,0.045867,20,,,,Difference in Interval Estimates,,,,-529.8282828
0.4,400,unexp,0.7179647,300,,,,,,,,
0.4,1000,exp,0.6555761,200,,,,,,,,
0.4,1000,exp,1.1801731,100,,,,,,,,
0.7,400,unexp,0.6303026,400,,,,,,,,
0.1,1000,exp,1.1823279,500,,,,,,,,
0.4,1000,exp,0.4455473,43,,,,,,,,
0.1,1000,exp,0.5826985,30,,,,,,,,
0.4,1000,exp,0.2866138,10,,,,,,,,
0.1,1000,exp,0.0682945,50,,,,,,,,
0.7,1000,exp,0.355109,100,,,,,,,,
0.7,1000,exp,0.5505049,100,,,,,,,,
0.4,400,unexp,0.0466043,700,,,,,,,,
0.1,400,unexp,0.4293013,200,,,,,,,,
0.7,400,unexp,0.5146195,900,,,,,,,,
0.4,1000,exp,0.0637134,100,,,,,,,,
0.1,1000,exp,0.2267066,150,,,,,,,,
0.7,1000,exp,0.5748681,400,,,,,,,,
0.1,1000,exp,1.4224666,500,,,,,,,,
0.4,400,unexp,0.4399473,950,,,,,,,,
0.4,1000,exp,0.3561517,300,,,,,,,,
0.7,1000,exp,0.9606983,200,,,,,,,,
0.1,1000,exp,0.8862349,400,,,,,,,,
0.4,1000,exp,1.52235,300,,,,,,,,
0.1,400,unexp,1.047913,700,,,,,,,,
0.1,1000,exp,0.6095992,200,,,,,,,,
0.7,1000,exp,0.7215936,100,,,,,,,,
0.7,1000,exp,1.5036661,200,,,,,,,,
0.7,400,unexp,0.6853192,600,,,,,,,,
0.4,1000,exp,0.3042171,200,,,,,,,,
0.7,1000,exp,0.3946595,300,,,,,,,,
0.7,1000,exp,0.3476258,600,,,,,,,,
0.1,1000,exp,0.7298398,100,,,,,,,,
0.7,1000,exp,0.3303797,100,,,,,,,,
0.4,1000,exp,0.4174258,150,,,,,,,,
0.1,1000,exp,0.6351025,200,,,,,,,,
0.4,1000,exp,0.5688368,200,,,,,,,,
0.1,1000,exp,1.3317021,250,,,,,,,,
0.7,400,unexp,0.3193564,600,,,,,,,,
0.4,400,unexp,0.690894,700,,,,,,,,
0.4,1000,exp,0.6606181,350,,,,,,,,
0.1,400,unexp,2.1038108,800,,,,,,,,
0.1,400,unexp,0.9167423,800,,,,,,,,
