thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,Fixation.started,Target.started,mouse.started,Fixation.stopped,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[0.2375],[-0.16666666666666666],[1],[0],[0],[5.514537699986249],['Target'],0,0,0,0,0.06256420002318919,,10,0.03998100000899285,0.06256420002318919,0.06256420002318919,0.04000799998175353,1.063863700022921,5.554729000083171,[0.2375],[-0.16666666666666666],[1],[0],[0],[5.514537699986249],['Target'],0003,001,2025-09-30_16h09.42.708,visual search,,2025.1.1,60.015147798913794,2025-09-30 16h09.51.213311 +0530,
1,0,1,[-0.21805555555555556],[0.4222222222222222],[1],[0],[0],[1.7577572000445798],['Target'],1,0,1,0,5.614934400073253,,10,5.59343730006367,5.614934400073253,5.614934400073253,0.03847170004155487,6.614010200020857,7.351288400008343,[-0.21805555555555556],[0.4222222222222222],[1],[0],[0],[1.7577572000445798],['Target'],0003,001,2025-09-30_16h09.42.708,visual search,,2025.1.1,60.015147798913794,2025-09-30 16h09.51.213311 +0530,
2,0,2,[-0.1875],[-0.32083333333333336],[1],[0],[0],[2.4036398000316694],['Target'],2,0,2,0,7.3965262999990955,,10,7.381264400086366,7.3965262999990955,7.3965262999990955,0.029757600044831634,8.39833070000168,9.785008800099604,[-0.1875],[-0.32083333333333336],[1],[0],[0],[2.4036398000316694],['Target'],0003,001,2025-09-30_16h09.42.708,visual search,,2025.1.1,60.015147798913794,2025-09-30 16h09.51.213311 +0530,
3,0,3,[0.20694444444444443],[-0.2569444444444444],[1],[0],[0],[1.3511375000234693],['Target'],3,0,3,0,9.830887400079519,,10,9.816737300017849,9.830887400079519,9.830887400079519,0.031486300053074956,10.832357600098476,11.168003800092265,[0.20694444444444443],[-0.2569444444444444],[1],[0],[0],[1.3511375000234693],['Target'],0003,001,2025-09-30_16h09.42.708,visual search,,2025.1.1,60.015147798913794,2025-09-30 16h09.51.213311 +0530,
4,0,4,[-0.44027777777777777],[0.325],[1],[0],[0],[1.6532532999990508],['Target'],4,0,4,0,11.21357220003847,,10,11.197658400051296,11.21357220003847,11.21357220003847,0.0292765999911353,12.21511890005786,12.851029300014488,[-0.44027777777777777],[0.325],[1],[0],[0],[1.6532532999990508],['Target'],0003,001,2025-09-30_16h09.42.708,visual search,,2025.1.1,60.015147798913794,2025-09-30 16h09.51.213311 +0530,
5,0,5,[0.4152777777777778],[-0.43194444444444446],[1],[0],[0],[2.163925200002268],['Target'],5,0,5,0,12.91409630002454,,10,12.887495300034061,12.91409630002454,12.91409630002454,0.036268900032155216,13.91457620006986,15.051500500063412,[0.4152777777777778],[-0.43194444444444446],[1],[0],[0],[2.163925200002268],['Target'],0003,001,2025-09-30_16h09.42.708,visual search,,2025.1.1,60.015147798913794,2025-09-30 16h09.51.213311 +0530,
6,0,6,[0.1625],[-0.43472222222222223],[1],[0],[0],[1.247594099957496],['Target'],6,0,6,0,15.079968100064434,,5,15.068873100099154,15.079968100064434,15.079968100064434,0.017391500063240528,16.081762800109573,16.316446400014684,[0.1625],[-0.43472222222222223],[1],[0],[0],[1.247594099957496],['Target'],0003,001,2025-09-30_16h09.42.708,visual search,,2025.1.1,60.015147798913794,2025-09-30 16h09.51.213311 +0530,
7,0,7,[-0.2361111111111111],[0.04027777777777778],[1],[0],[0],[1.185213299933821],['Target'],7,0,7,0,16.347631200100295,,5,16.33324240008369,16.347631200100295,16.347631200100295,0.016627099947072566,17.349120200029574,17.518555200076662,[-0.2361111111111111],[0.04027777777777778],[1],[0],[0],[1.185213299933821],['Target'],0003,001,2025-09-30_16h09.42.708,visual search,,2025.1.1,60.015147798913794,2025-09-30 16h09.51.213311 +0530,
8,0,8,[0.28888888888888886],[0.24166666666666667],[1],[0],[0],[1.134872499969788],['Target'],8,0,8,0,17.547258000005968,,5,17.5346246000845,17.547258000005968,17.547258000005968,0.015870100003667176,18.54960580007173,18.66962040006183,[0.28888888888888886],[0.24166666666666667],[1],[0],[0],[1.134872499969788],['Target'],0003,001,2025-09-30_16h09.42.708,visual search,,2025.1.1,60.015147798913794,2025-09-30 16h09.51.213311 +0530,
9,0,9,[-0.5097222222222222],[-0.18888888888888888],[1],[0],[0],[1.3175812000408769],['Target'],9,0,9,0,18.71468990005087,,10,18.700794500065967,18.71468990005087,18.71468990005087,0.030908599961549044,19.71644810005091,20.018521700054407,[-0.5097222222222222],[-0.18888888888888888],[1],[0],[0],[1.3175812000408769],['Target'],0003,001,2025-09-30_16h09.42.708,visual search,,2025.1.1,60.015147798913794,2025-09-30 16h09.51.213311 +0530,
