study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test_word,Reference,old_new,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,studytext.started,slider.started,studytext.stopped,trial.stopped,trials.slider.response,trials.slider.rt,test.started,testText.started,textbox.started,text_3.started,mouse.started,test.stopped,trials_2.textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
,0,0,0,,,Sl_e_e,Sleeve,new,"sleeve
",[0.10972222222222222],[-0.29444444444444445],[1],[0],[0],[23.70322009990923],['text_3'],,,,,0,0,0,21,34.2095913,,,,,,,,,34.1942433,34.2095913,34.2095913,34.2095913,0.0162514,57.8977479,"sleeve
",[0.10972222222222222],[-0.29444444444444445],[1],[0],[0],[23.70322009990923],['text_3'],3,1,2025-10-13_20h51.51.391,word priming,,2025.1.1,59.98785848,2025-10-13 20h51.59.803000 +0530
,1,1,0,,,_us_io_,Cushion,old,custion,[-0.041666666666666664],[-0.30277777777777776],[1],[0],[0],[12.429537300020456],['text_3'],,,,,0,1,1,15,57.9127999,,,,,,,,,57.9011744,57.9127999,57.9127999,57.9127999,0.0032658,70.3310497,custion,[-0.041666666666666664],[-0.30277777777777776],[1],[0],[0],[12.429537300020456],['text_3'],3,1,2025-10-13_20h51.51.391,word priming,,2025.1.1,59.98785848,2025-10-13 20h51.59.803000 +0530
,2,2,0,,,Ma_b_e,Marble,old,marble,[0.03611111111111111],[-0.29305555555555557],[1],[0],[0],[7.529396699974313],['text_3'],,,,,0,2,2,12,70.361707,,,,,,,,,70.3373095,70.361707,70.361707,70.361707,0.0061034,77.8670613,marble,[0.03611111111111111],[-0.29305555555555557],[1],[0],[0],[7.529396699974313],['text_3'],3,1,2025-10-13_20h51.51.391,word priming,,2025.1.1,59.98785848,2025-10-13 20h51.59.803000 +0530
,3,3,0,,,L_pt_p,laptop,old,laptop,[-0.020833333333333332],[-0.3194444444444444],[1],[0],[0],[3.906595999840647],['text_3'],,,,,0,3,3,0,77.8976782,,,,,,,,,77.8745355,77.8976782,77.8976782,77.8976782,0.0072893,81.781524,laptop,[-0.020833333333333332],[-0.3194444444444444],[1],[0],[0],[3.906595999840647],['text_3'],3,1,2025-10-13_20h51.51.391,word priming,,2025.1.1,59.98785848,2025-10-13 20h51.59.803000 +0530
,4,4,0,,,C_r,Car,new,car,[-0.020833333333333332],[-0.3194444444444444],[1],[0],[0],[6.713249699911103],['text_3'],,,,,0,4,4,23,81.7967946,,,,,,,,,81.7852952,81.7967946,81.7967946,81.7967946,0.0036058,88.4989608,car,[-0.020833333333333332],[-0.3194444444444444],[1],[0],[0],[6.713249699911103],['text_3'],3,1,2025-10-13_20h51.51.391,word priming,,2025.1.1,59.98785848,2025-10-13 20h51.59.803000 +0530
,5,5,0,,,v_se,Vase,old,vase,[-0.020833333333333332],[-0.3194444444444444],[1],[0],[0],[3.230905700009316],['text_3'],,,,,0,5,5,18,88.5139446,,,,,,,,,88.5024735,88.5139446,88.5139446,88.5139446,0.0033631,91.7337108,vase,[-0.020833333333333332],[-0.3194444444444444],[1],[0],[0],[3.230905700009316],['text_3'],3,1,2025-10-13_20h51.51.391,word priming,,2025.1.1,59.98785848,2025-10-13 20h51.59.803000 +0530
,6,6,0,,,B_a_d,Board,old,board,[-0.006944444444444444],[-0.30972222222222223],[1],[0],[0],[22.977192000020295],['text_3'],,,,,0,6,6,10,91.7628223,,,,,,,,,91.7394746,91.7628223,91.7628223,91.7628223,0.005615,114.7170735,board,[-0.006944444444444444],[-0.30972222222222223],[1],[0],[0],[22.977192000020295],['text_3'],3,1,2025-10-13_20h51.51.391,word priming,,2025.1.1,59.98785848,2025-10-13 20h51.59.803000 +0530
,7,7,0,,,M_us_,Mouse,new,mouse,[-0.006944444444444444],[-0.30972222222222223],[1],[0],[0],[3.9794966999907047],['text_3'],,,,,0,7,7,11,114.7330839,,,,,,,,,114.721017,114.7330839,114.7330839,114.7330839,0.0037846,118.7008925,mouse,[-0.006944444444444444],[-0.30972222222222223],[1],[0],[0],[3.9794966999907047],['text_3'],3,1,2025-10-13_20h51.51.391,word priming,,2025.1.1,59.98785848,2025-10-13 20h51.59.803000 +0530
,8,8,0,,,T_bl_,Table,new,table,[-0.006944444444444444],[-0.30972222222222223],[1],[0],[0],[3.312696299981326],['text_3'],,,,,0,8,8,16,118.7155888,,,,,,,,,118.7046428,118.7155888,118.7155888,118.7155888,0.0035938,122.0177517,table,[-0.006944444444444444],[-0.30972222222222223],[1],[0],[0],[3.312696299981326],['text_3'],3,1,2025-10-13_20h51.51.391,word priming,,2025.1.1,59.98785848,2025-10-13 20h51.59.803000 +0530
,9,9,0,,,P_li_e,police,old,police,[-0.006944444444444444],[-0.30972222222222223],[1],[0],[0],[4.661166399950162],['text_3'],,,,,0,9,9,7,122.047927,,,,,,,,,122.0245156,122.047927,122.047927,122.047927,0.0066549,126.6861202,police,[-0.006944444444444444],[-0.30972222222222223],[1],[0],[0],[4.661166399950162],['text_3'],3,1,2025-10-13_20h51.51.391,word priming,,2025.1.1,59.98785848,2025-10-13 20h51.59.803000 +0530
