thisN,thisTrialN,thisRepN,tilt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,Fixation.started,Fixation.stopped,key_resp.started,trial.stopped,trials.tilt,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,0,up,1,0.6394287999719381,None,0,0,0,0,0.024047299986705184,,0.006754899979569018,0.024047299986705184,1.0101280000526458,1.0101280000526458,1.6666449999902397,0,up,1,0.6394287999719381,None,566747,001,2025-09-04_10h19.30.591,Signal detection,,2025.1.1,59.632745793818415,2025-09-04 10h19.33.834138 +0530,
1,0,1,-5,down,1,0.6243722999934107,None,1,0,1,0,1.6755702999653295,,1.667003000038676,1.6755702999653295,2.6763280000304803,2.6763280000304803,3.3094145000213757,-5,down,1,0.6243722999934107,None,566747,001,2025-09-04_10h19.30.591,Signal detection,,2025.1.1,59.632745793818415,2025-09-04 10h19.33.834138 +0530,
2,0,2,0,up,1,0.7114445000188425,None,2,0,2,0,3.325903399963863,,3.3097981000319123,3.325903399963863,4.309428000007756,4.309428000007756,5.028019499965012,0,up,1,0.7114445000188425,None,566747,001,2025-09-04_10h19.30.591,Signal detection,,2025.1.1,59.632745793818415,2025-09-04 10h19.33.834138 +0530,
3,0,3,0,up,1,0.6435566999716684,None,3,0,3,0,5.042737300042063,,5.028450699988753,5.042737300042063,6.04295270005241,6.04295270005241,6.693197400076315,0,up,1,0.6435566999716684,None,566747,001,2025-09-04_10h19.30.591,Signal detection,,2025.1.1,59.632745793818415,2025-09-04 10h19.33.834138 +0530,
4,0,4,-3,down,1,0.5135598999913782,None,4,0,4,0,6.708996700006537,,6.693510000011884,6.708996700006537,7.6929324000375345,7.6929324000375345,8.211831300053746,-3,down,1,0.5135598999913782,None,566747,001,2025-09-04_10h19.30.591,Signal detection,,2025.1.1,59.632745793818415,2025-09-04 10h19.33.834138 +0530,
5,0,5,0,up,1,0.6615827999776229,None,5,0,5,0,8.225583199993707,,8.212341099977493,8.225583199993707,9.210434300010093,9.210434300010093,9.878675700048916,0,up,1,0.6615827999776229,None,566747,001,2025-09-04_10h19.30.591,Signal detection,,2025.1.1,59.632745793818415,2025-09-04 10h19.33.834138 +0530,
6,0,6,0,up,1,0.646292999968864,None,6,0,6,0,9.892632300034165,,9.879361400031485,9.892632300034165,10.894382399972528,10.894382399972528,11.542026199982502,0,up,1,0.646292999968864,None,566747,001,2025-09-04_10h19.30.591,Signal detection,,2025.1.1,59.632745793818415,2025-09-04 10h19.33.834138 +0530,
7,0,7,0,up,1,0.5257168000098318,None,7,0,7,0,11.558749999967404,,11.542242600000463,11.558749999967404,12.543466200004332,12.543466200004332,13.076248300028965,0,up,1,0.5257168000098318,None,566747,001,2025-09-04_10h19.30.591,Signal detection,,2025.1.1,59.632745793818415,2025-09-04 10h19.33.834138 +0530,
8,0,8,1,up,0,0.45271690003573895,None,8,0,8,0,13.09233040001709,,13.076932099997066,13.09233040001709,14.076920600025915,14.076920600025915,14.54336000001058,1,up,0,0.45271690003573895,None,566747,001,2025-09-04_10h19.30.591,Signal detection,,2025.1.1,59.632745793818415,2025-09-04 10h19.33.834138 +0530,
9,0,9,4,down,1,0.5872429000446573,None,9,0,9,0,14.559906300040893,,14.543815199984238,14.559906300040893,15.54396739997901,15.54396739997901,16.14512460003607,4,down,1,0.5872429000446573,None,566747,001,2025-09-04_10h19.30.591,Signal detection,,2025.1.1,59.632745793818415,2025-09-04 10h19.33.834138 +0530,
10,0,10,3,down,1,0.6113097999477759,None,10,0,10,0,16.15958870004397,,16.14556450000964,16.15958870004397,17.16117790003773,17.16117790003773,17.778046800056472,3,down,1,0.6113097999477759,None,566747,001,2025-09-04_10h19.30.591,Signal detection,,2025.1.1,59.632745793818415,2025-09-04 10h19.33.834138 +0530,
11,0,11,3,down,1,0.6984315000008792,None,11,0,11,0,17.793636600021273,,17.778462799964473,17.793636600021273,18.77614370000083,18.77614370000083,19.479346100008115,3,down,1,0.6984315000008792,None,566747,001,2025-09-04_10h19.30.591,Signal detection,,2025.1.1,59.632745793818415,2025-09-04 10h19.33.834138 +0530,
12,0,12,0,up,1,0.5854509000200778,None,12,0,12,0,19.49297750007827,,19.4798059000168,19.49297750007827,20.493041299981996,20.493041299981996,21.094118000008166,0,up,1,0.5854509000200778,None,566747,001,2025-09-04_10h19.30.591,Signal detection,,2025.1.1,59.632745793818415,2025-09-04 10h19.33.834138 +0530,
13,0,13,0,up,1,0.5096383999334648,None,13,0,13,0,21.1105698000174,,21.09452260006219,21.1105698000174,22.111076700035483,22.111076700035483,22.626521500060335,0,up,1,0.5096383999334648,None,566747,001,2025-09-04_10h19.30.591,Signal detection,,2025.1.1,59.632745793818415,2025-09-04 10h19.33.834138 +0530,
14,0,14,0,up,1,0.5152031000470743,None,14,0,14,0,22.643967000069097,,22.62684140005149,22.643967000069097,23.626559700001962,23.626559700001962,24.147541300044395,0,up,1,0.5152031000470743,None,566747,001,2025-09-04_10h19.30.591,Signal detection,,2025.1.1,59.632745793818415,2025-09-04 10h19.33.834138 +0530,
15,0,15,-4,down,1,0.6328869999852031,None,15,0,15,0,24.159351699985564,,24.147985100047663,24.159351699985564,25.16059210000094,25.16059210000094,25.795947000035085,-4,down,1,0.6328869999852031,None,566747,001,2025-09-04_10h19.30.591,Signal detection,,2025.1.1,59.632745793818415,2025-09-04 10h19.33.834138 +0530,
16,0,16,0,up,1,0.7519979000790045,None,16,0,16,0,25.810505200061016,,25.796341000008397,25.810505200061016,26.811471799970604,26.811471799970604,27.578986300039105,0,up,1,0.7519979000790045,None,566747,001,2025-09-04_10h19.30.591,Signal detection,,2025.1.1,59.632745793818415,2025-09-04 10h19.33.834138 +0530,
17,0,17,-4,down,1,0.7224533000262454,None,17,0,17,0,27.59259400004521,,27.57941240002401,27.59259400004521,28.593757900060154,28.593757900060154,29.328470100066625,-4,down,1,0.7224533000262454,None,566747,001,2025-09-04_10h19.30.591,Signal detection,,2025.1.1,59.632745793818415,2025-09-04 10h19.33.834138 +0530,
18,0,18,0,up,1,0.6412398000247777,None,18,0,18,0,29.344074600026943,,29.328864900046028,29.344074600026943,30.327774600009434,30.327774600009434,30.97787469998002,0,up,1,0.6412398000247777,None,566747,001,2025-09-04_10h19.30.591,Signal detection,,2025.1.1,59.632745793818415,2025-09-04 10h19.33.834138 +0530,
19,0,19,0,up,1,0.7419552000937983,None,19,0,19,0,30.994158099987544,,30.97833680000622,30.994158099987544,31.977500200038776,31.977500200038776,32.72799980000127,0,up,1,0.7419552000937983,None,566747,001,2025-09-04_10h19.30.591,Signal detection,,2025.1.1,59.632745793818415,2025-09-04 10h19.33.834138 +0530,
20,0,20,-5,down,1,0.666894199908711,None,20,0,20,0,32.74467619997449,,32.72849150002003,32.74467619997449,33.744423900032416,33.744423900032416,34.41456599999219,-5,down,1,0.666894199908711,None,566747,001,2025-09-04_10h19.30.591,Signal detection,,2025.1.1,59.632745793818415,2025-09-04 10h19.33.834138 +0530,
21,0,21,4,down,1,0.6409039000282064,None,21,0,21,0,34.42725020006765,,34.41496890003327,34.42725020006765,35.42855449998751,35.42855449998751,36.07849740004167,4,down,1,0.6409039000282064,None,566747,001,2025-09-04_10h19.30.591,Signal detection,,2025.1.1,59.632745793818415,2025-09-04 10h19.33.834138 +0530,
22,0,22,1,down,1,0.9952855999581516,None,22,0,22,0,36.094510399969295,,36.07891110004857,36.094510399969295,37.07740539999213,37.07740539999213,38.078767200000584,1,down,1,0.9952855999581516,None,566747,001,2025-09-04_10h19.30.591,Signal detection,,2025.1.1,59.632745793818415,2025-09-04 10h19.33.834138 +0530,
23,0,23,0,up,1,0.47747610008809716,None,23,0,23,0,38.094810700044036,,38.07914300006814,38.094810700044036,39.0783518999815,39.0783518999815,39.56220150005538,0,up,1,0.47747610008809716,None,566747,001,2025-09-04_10h19.30.591,Signal detection,,2025.1.1,59.632745793818415,2025-09-04 10h19.33.834138 +0530,
24,0,24,-5,down,1,0.62171890004538,None,24,0,24,0,39.578246199991554,,39.562616100069135,39.578246199991554,40.57821960002184,40.57821960002184,41.212795500061475,-5,down,1,0.62171890004538,None,566747,001,2025-09-04_10h19.30.591,Signal detection,,2025.1.1,59.632745793818415,2025-09-04 10h19.33.834138 +0530,
25,0,25,0,up,1,0.7724688000744209,None,25,0,25,0,41.22868739999831,,41.21324030007236,41.22868739999831,42.21176189999096,42.21176189999096,42.99592590006068,0,up,1,0.7724688000744209,None,566747,001,2025-09-04_10h19.30.591,Signal detection,,2025.1.1,59.632745793818415,2025-09-04 10h19.33.834138 +0530,
26,0,26,1,down,1,0.5276350999483839,None,26,0,26,0,43.011780100059696,,42.99632440006826,43.011780100059696,43.99538580002263,43.99538580002263,44.53007890004665,1,down,1,0.5276350999483839,None,566747,001,2025-09-04_10h19.30.591,Signal detection,,2025.1.1,59.632745793818415,2025-09-04 10h19.33.834138 +0530,
27,0,27,1,down,1,1.0059727999614552,None,27,0,27,0,44.5452158000553,,44.53053310001269,44.5452158000553,45.54473970003892,45.54473970003892,46.5630321999779,1,down,1,1.0059727999614552,None,566747,001,2025-09-04_10h19.30.591,Signal detection,,2025.1.1,59.632745793818415,2025-09-04 10h19.33.834138 +0530,
28,0,28,0,up,1,0.7557455999776721,None,28,0,28,0,46.57896479999181,,46.56341349997092,46.57896479999181,47.562706600059755,47.562706600059755,48.329321400029585,0,up,1,0.7557455999776721,None,566747,001,2025-09-04_10h19.30.591,Signal detection,,2025.1.1,59.632745793818415,2025-09-04 10h19.33.834138 +0530,
